iter	Logloss
0	0.6890052072
1	0.6853534566
2	0.6817061745
3	0.6775785821
4	0.6741117879
5	0.6708079446
6	0.6677766888
7	0.6641098706
8	0.6611092893
9	0.6574695328
10	0.6539937605
11	0.650505916
12	0.6472982466
13	0.6439190799
14	0.6405668421
15	0.6366148284
16	0.6339855811
17	0.6302549629
18	0.6280801731
19	0.625632276
20	0.6210955423
21	0.6188440247
22	0.6163779132
23	0.6136403778
24	0.6114417229
25	0.6084635069
26	0.6054175887
27	0.601601572
28	0.5992227997
29	0.5969991033
30	0.5941519167
31	0.5914929684
32	0.5885725047
33	0.5865921236
34	0.5849425512
35	0.5823275153
36	0.5803610237
37	0.5784015193
38	0.5768653158
39	0.5749861072
40	0.572158795
41	0.5695892805
42	0.5672952551
43	0.5655252586
44	0.563763116
45	0.5609971133
46	0.5583858064
47	0.55649116
48	0.5552191494
49	0.5535376179
50	0.5520151111
51	0.550653244
52	0.5488972985
53	0.5471999515
54	0.5456827121
55	0.54391692
56	0.5424457983
57	0.540875241
58	0.5396110759
59	0.5380649589
60	0.53636819
61	0.5345600237
62	0.5328766723
63	0.5312488095
64	0.5303890605
65	0.5290824727
66	0.5275777147
67	0.5264977642
68	0.5249213826
69	0.5237048504
70	0.5225564934
71	0.5212664179
72	0.5199341804
73	0.5181708966
74	0.5172423849
75	0.516291639
76	0.5151668395
77	0.5139844391
78	0.513096438
79	0.5121125674
80	0.5110370433
81	0.5098542418
82	0.5086830076
83	0.5074063824
84	0.5060356315
85	0.5050255361
86	0.5039214341
87	0.5027406965
88	0.5015740869
89	0.5003715838
90	0.4993025611
91	0.4982665999
92	0.4966545697
93	0.4953726988
94	0.494209802
95	0.4929561383
96	0.4921494207
97	0.491230742
98	0.4899159864
99	0.4894584307
100	0.4884830426
101	0.4870091382
102	0.4860066027
103	0.4851275133
104	0.484408915
105	0.4834776315
106	0.482734821
107	0.4814961924
108	0.4808887527
109	0.4803831371
110	0.47940063
111	0.4781993205
112	0.4773800853
113	0.4765859198
114	0.4755548156
115	0.4747708331
116	0.4737479549
117	0.4732190996
118	0.4726730621
119	0.4719355764
120	0.471053192
121	0.4706966384
122	0.4702234775
123	0.4692315225
124	0.4684036218
125	0.4677782269
126	0.4672625494
127	0.4665148509
128	0.4657462922
129	0.4652205541
130	0.4642265113
131	0.4637463308
132	0.4632464601
133	0.4627639326
134	0.4621517651
135	0.4618055363
136	0.4612770105
137	0.4605947726
138	0.4602855384
139	0.4592654169
140	0.4585802214
141	0.4578915804
142	0.4574780966
143	0.4570187206
144	0.4565502969
145	0.4559622236
146	0.455651182
147	0.4550420997
148	0.4543602613
149	0.4536061641
150	0.4529308623
151	0.4521800643
152	0.4518183295
153	0.4512338791
154	0.450441305
155	0.4500573608
156	0.4491581202
157	0.4484710373
158	0.4479488592
159	0.4474618673
160	0.4468714161
161	0.4463352561
162	0.4455314221
163	0.4452475316
164	0.4447257495
165	0.4439420438
166	0.4435084198
167	0.4430744563
168	0.4424387076
169	0.4419097739
170	0.4413858387
171	0.4407985546
172	0.4404928534
173	0.440108331
174	0.4397631205
175	0.4390703113
176	0.4385249526
177	0.4381808904
178	0.4378274717
179	0.4374887309
180	0.4371173097
181	0.4364619693
182	0.4362066625
183	0.4358887063
184	0.4354750961
185	0.4350980718
186	0.4346568698
187	0.4342304807
188	0.4336490072
189	0.4332632205
190	0.4330316862
191	0.4325599503
192	0.4320585238
193	0.4318377118
194	0.4315469019
195	0.4312789109
196	0.4308463628
197	0.4305802807
198	0.4301506027
199	0.4297308826
