iter	Passed	Remaining
0	0	55
1	0	50
2	0	47
3	0	46
4	1	47
5	1	45
6	1	45
7	1	45
8	2	45
9	2	44
10	2	43
11	2	43
12	2	42
13	3	42
14	3	41
15	3	41
16	3	41
17	4	40
18	4	40
19	4	39
20	4	39
21	4	39
22	5	38
23	5	38
24	5	38
25	5	38
26	5	37
27	6	37
28	6	37
29	6	37
30	6	36
31	6	36
32	7	36
33	7	36
34	7	35
35	7	35
36	8	35
37	8	35
38	8	34
39	8	34
40	8	34
41	9	34
42	9	34
43	9	33
44	9	33
45	9	33
46	10	33
47	10	32
48	10	32
49	10	32
50	11	32
51	11	31
52	11	31
53	11	31
54	11	31
55	12	31
56	12	31
57	12	30
58	12	30
59	12	30
60	13	30
61	13	29
62	13	29
63	13	29
64	14	29
65	14	29
66	14	29
67	14	28
68	15	28
69	15	28
70	15	28
71	15	28
72	16	27
73	16	27
74	16	27
75	16	27
76	16	27
77	17	26
78	17	26
79	17	26
80	17	26
81	18	25
82	18	25
83	18	25
84	18	25
85	18	25
86	19	24
87	19	24
88	19	24
89	19	24
90	20	24
91	20	23
92	20	23
93	20	23
94	20	23
95	21	22
96	21	22
97	21	22
98	21	22
99	22	22
100	22	21
101	22	21
102	22	21
103	23	21
104	23	20
105	23	20
106	23	20
107	23	20
108	24	20
109	24	19
110	24	19
111	24	19
112	25	19
113	25	19
114	25	18
115	25	18
116	26	18
117	26	18
118	26	18
119	26	17
120	27	17
121	27	17
122	27	17
123	27	16
124	27	16
125	28	16
126	28	16
127	28	16
128	28	15
129	29	15
130	29	15
131	29	15
132	29	15
133	30	14
134	30	14
135	30	14
136	30	14
137	31	13
138	31	13
139	31	13
140	31	13
141	31	13
142	32	12
143	32	12
144	32	12
145	32	12
146	33	11
147	33	11
148	33	11
149	33	11
150	34	11
151	34	10
152	34	10
153	34	10
154	34	10
155	35	9
156	35	9
157	35	9
158	35	9
159	36	9
160	36	8
161	36	8
162	36	8
163	37	8
164	37	7
165	37	7
166	37	7
167	38	7
168	38	7
169	38	6
170	38	6
171	38	6
172	39	6
173	39	5
174	39	5
175	39	5
176	40	5
177	40	4
178	40	4
179	40	4
180	41	4
181	41	4
182	41	3
183	41	3
184	41	3
185	42	3
186	42	2
187	42	2
188	42	2
189	43	2
190	43	2
191	43	1
192	43	1
193	44	1
194	44	1
195	44	0
196	44	0
197	44	0
198	45	0
199	45	0
